Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2015-01-02,171.09373474121094,205.42999267578125,206.8800048828125,204.17999267578125,206.3800048828125,121465900
2015-01-05,168.0038299560547,201.72000122070312,204.3699951171875,201.35000610351562,204.1699981689453,169632600
2015-01-06,166.42135620117188,199.82000732421875,202.72000122070312,198.86000061035156,202.08999633789062,209151400
2015-01-07,168.4951171875,202.30999755859375,202.72000122070312,200.8800048828125,201.4199981689453,125346700
2015-01-08,171.48516845703125,205.89999389648438,206.16000366210938,203.99000549316406,204.00999450683594,147217800
2015-01-09,170.11093139648438,204.25,206.4199981689453,203.50999450683594,206.39999389648438,158567300
2015-01-12,168.77830505371094,202.64999389648438,204.60000610351562,201.9199981689453,204.41000366210938,144396100
2015-01-13,168.30364990234375,202.0800018310547,205.47999572753906,200.50999450683594,204.1199951171875,214553300
2015-01-14,167.28753662109375,200.86000061035156,201.10000610351562,198.57000732421875,199.64999389648438,192991100
2015-01-15,165.75511169433594,199.02000427246094,202.00999450683594,198.8800048828125,201.6300048828125,176613900
2015-01-16,167.9288330078125,201.6300048828125,201.82000732421875,198.5500030517578,198.77000427246094,211879600
2015-01-20,168.2869110107422,202.05999755859375,202.72000122070312,200.1699981689453,202.39999389648438,130991100
2015-01-21,169.136474609375,203.0800018310547,203.66000366210938,200.94000244140625,201.5,122942700
2015-01-22,171.65171813964844,206.10000610351562,206.25999450683594,202.3300018310547,203.99000549316406,174356000
2015-01-23,170.7105712890625,204.97000122070312,206.10000610351562,204.80999755859375,205.7899932861328,117516800
2015-01-26,171.11038208007812,205.4499969482422,205.55999755859375,203.85000610351562,204.7100067138672,92009700
2015-01-27,168.85330200195312,202.74000549316406,204.1199951171875,201.74000549316406,202.97000122070312,134044600
2015-01-28,166.68788146972656,200.13999938964844,204.2899932861328,199.91000366210938,204.1699981689453,168514300
2015-01-29,168.22865295410156,201.99000549316406,202.3000030517578,198.67999267578125,200.3800048828125,173585400
2015-01-30,166.11322021484375,199.4499969482422,202.1699981689453,199.1300048828125,200.57000732421875,197729700
2015-02-02,168.17037963867188,201.9199981689453,202.02999877929688,197.86000061035156,200.0500030517578,163107000
2015-02-03,170.60227966308594,204.83999633789062,204.85000610351562,202.5500030517578,203.0,124212900
2015-02-04,169.9527130126953,204.05999755859375,205.3800048828125,203.50999450683594,203.9199981689453,134306700
2015-02-05,171.66836547851562,206.1199951171875,206.3000030517578,204.77000427246094,204.86000061035156,97953200
2015-02-06,171.19363403320312,205.5500030517578,207.24000549316406,204.9199981689453,206.55999755859375,125672000
2015-02-09,170.4274139404297,204.6300048828125,205.63999938964844,204.13999938964844,204.77000427246094,87219000
2015-02-10,172.2430419921875,206.80999755859375,207.1199951171875,204.67999267578125,205.8800048828125,96164200
2015-02-11,172.34295654296875,206.92999267578125,207.4499969482422,205.8300018310547,206.61000061035156,91087800
2015-02-12,174.0004119873047,208.9199981689453,208.99000549316406,206.97000122070312,207.88999938964844,97545900
2015-02-13,174.71658325195312,209.77999877929688,209.83999633789062,208.75999450683594,209.07000732421875,93670400
2015-02-17,174.991455078125,210.11000061035156,210.32000732421875,209.10000610351562,209.39999389648438,76968200
2015-02-18,175.00819396972656,210.1300048828125,210.22000122070312,209.33999633789062,209.66000366210938,80652900
2015-02-19,174.88319396972656,209.97999572753906,210.4199981689453,209.24000549316406,209.41000366210938,91462500
2015-02-20,175.9325408935547,211.24000549316406,211.3300018310547,208.72999572753906,209.47999572753906,140896400
2015-02-23,175.9075469970703,211.2100067138672,211.2100067138672,210.47999572753906,210.94000244140625,74411100
2015-02-24,176.40731811523438,211.80999755859375,212.0500030517578,210.75999450683594,211.1199951171875,72472300
2015-02-25,176.25741577148438,211.6300048828125,212.24000549316406,211.22000122070312,211.66000366210938,73061700
2015-02-26,176.04920959472656,211.3800048828125,211.7100067138672,210.64999389648438,211.52000427246094,72697900
